Neural Variational Inference and Learning in Undirected Graphical Models,"Volodymyr Kuleshov, Stefano Ermon",https://proceedings.neurips.cc/paper/2017/hash/14e422f05b68cc0139988e128ee880df-Abstract.html
Aggressive Sampling for Multi-class to Binary Reduction with Applications to Text Classification,"Bikash Joshi, Massih R. Amini, Ioannis Partalas, Franck Iutzeler, Yury Maximov",https://proceedings.neurips.cc/paper/2017/hash/14ea0d5b0cf49525d1866cb1e95ada5d-Abstract.html
Learning Linear Dynamical Systems via Spectral Filtering,"Elad Hazan, Karan Singh, Cyril Zhang",https://proceedings.neurips.cc/paper/2017/hash/165a59f7cf3b5c4396ba65953d679f17-Abstract.html
Efficient Modeling of Latent Information in Supervised Learning using Gaussian Processes,"Zhenwen Dai, Mauricio Álvarez, Neil Lawrence",https://proceedings.neurips.cc/paper/2017/hash/1680e9fa7b4dd5d62ece800239bb53bd-Abstract.html
Semi-Supervised Learning for Optical Flow with Generative Adversarial Networks,"Wei-Sheng Lai, Jia-Bin Huang, Ming-Hsuan Yang",https://proceedings.neurips.cc/paper/2017/hash/16a5cdae362b8d27a1d8f8c7b78b4330-Abstract.html
Phase Transitions in the Pooled Data Problem,"Jonathan Scarlett, Volkan Cevher",https://proceedings.neurips.cc/paper/2017/hash/1700002963a49da13542e0726b7bb758-Abstract.html
Unifying PAC and Regret: Uniform PAC Bounds for Episodic Reinforcement Learning,"Christoph Dann, Tor Lattimore, Emma Brunskill",https://proceedings.neurips.cc/paper/2017/hash/17d8da815fa21c57af9829fb0a869602-Abstract.html
Stein Variational Gradient Descent as Gradient Flow,Qiang Liu,https://proceedings.neurips.cc/paper/2017/hash/17ed8abedc255908be746d245e50263a-Abstract.html
Expectation Propagation for t-Exponential Family Using q-Algebra,"Futoshi Futami, Issei Sato, Masashi Sugiyama",https://proceedings.neurips.cc/paper/2017/hash/17fafe5f6ce2f1904eb09d2e80a4cbf6-Abstract.html
Collaborative PAC Learning,"Avrim Blum, Nika Haghtalab, Ariel D. Procaccia, Mingda Qiao",https://proceedings.neurips.cc/paper/2017/hash/186a157b2992e7daed3677ce8e9fe40f-Abstract.html
Polynomial time algorithms for dual volume sampling,"Chengtao Li, Stefanie Jegelka, Suvrit Sra",https://proceedings.neurips.cc/paper/2017/hash/18bb68e2b38e4a8ce7cf4f6b2625768c-Abstract.html
Premise Selection for Theorem Proving by Deep Graph Embedding,"Mingzhe Wang, Yihe Tang, Jian Wang, Jia Deng",https://proceedings.neurips.cc/paper/2017/hash/18d10dc6e666eab6de9215ae5b3d54df-Abstract.html
Differentiable Learning of Submodular Models,"Josip Djolonga, Andreas Krause",https://proceedings.neurips.cc/paper/2017/hash/192fc044e74dffea144f9ac5dc9f3395-Abstract.html
YASS: Yet Another Spike Sorter,"Jin Hyung Lee, David E. Carlson, Hooshmand Shokri Razaghi, Weichi Yao, Georges A. Goetz, Espen Hagen, Eleanor Batty, E.J. Chichilnisky, Gaute T. Einevoll, Liam Paninski",https://proceedings.neurips.cc/paper/2017/hash/1943102704f8f8f3302c2b730728e023-Abstract.html
Variational Laws of Visual Attention for Dynamic Scenes,"Dario Zanca, Marco Gori",https://proceedings.neurips.cc/paper/2017/hash/194cf6c2de8e00c05fcf16c498adc7bf-Abstract.html
How regularization affects the critical points in linear networks,"Amirhossein Taghvaei, Jin W. Kim, Prashant Mehta",https://proceedings.neurips.cc/paper/2017/hash/1abb1e1ea5f481b589da52303b091cbb-Abstract.html
On Tensor Train Rank Minimization : Statistical Efficiency and Scalable Algorithm,"Masaaki Imaizumi, Takanori Maehara, Kohei Hayashi",https://proceedings.neurips.cc/paper/2017/hash/1b5230e3ea6d7123847ad55a1e06fffd-Abstract.html
EX2: Exploration with Exemplar Models for Deep Reinforcement Learning,"Justin Fu, John Co-Reyes, Sergey Levine",https://proceedings.neurips.cc/paper/2017/hash/1baff70e2669e8376347efd3a874a341-Abstract.html
Training Quantized Nets: A Deeper Understanding,"Hao Li, Soham De, Zheng Xu, Christoph Studer, Hanan Samet, Tom Goldstein",https://proceedings.neurips.cc/paper/2017/hash/1c303b0eed3133200cf715285011b4e4-Abstract.html
Convolutional Gaussian Processes,"Mark van der Wilk, Carl Edward Rasmussen, James Hensman",https://proceedings.neurips.cc/paper/2017/hash/1c54985e4f95b7819ca0357c0cb9a09f-Abstract.html
Best Response Regression,"Omer Ben-Porat, Moshe Tennenholtz",https://proceedings.neurips.cc/paper/2017/hash/1ce927f875864094e3906a4a0b5ece68-Abstract.html
Elementary Symmetric Polynomials for Optimal Experimental Design,"Zelda E. Mariet, Suvrit Sra",https://proceedings.neurips.cc/paper/2017/hash/1cecc7a77928ca8133fa24680a88d2f9-Abstract.html
Learning from Complementary Labels,"Takashi Ishida, Gang Niu, Weihua Hu, Masashi Sugiyama",https://proceedings.neurips.cc/paper/2017/hash/1dba5eed8838571e1c80af145184e515-Abstract.html
Dynamic Importance Sampling for Anytime Bounds of the Partition Function,"Qi Lou, Rina Dechter, Alexander T. Ihler",https://proceedings.neurips.cc/paper/2017/hash/1f1baa5b8edac74eb4eaa329f14a0361-Abstract.html
Process-constrained batch Bayesian optimisation,"Pratibha Vellanki, Santu Rana, Sunil Gupta, David Rubin, Alessandra Sutti, Thomas Dorin, Murray Height, Paul Sanders, Svetha Venkatesh",https://proceedings.neurips.cc/paper/2017/hash/1f71e393b3809197ed66df836fe833e5-Abstract.html
Uprooting and Rerooting Higher-Order Graphical Models,"Mark Rowland, Adrian Weller",https://proceedings.neurips.cc/paper/2017/hash/1ff8a7b5dc7a7d1f0ed65aaa29c04b1e-Abstract.html
Learned in Translation: Contextualized Word Vectors,"Bryan McCann, James Bradbury, Caiming Xiong, Richard Socher",https://proceedings.neurips.cc/paper/2017/hash/20c86a628232a67e7bd46f76fba7ce12-Abstract.html
"Semisupervised Clustering, AND-Queries and Locally Encodable Source Coding","Arya Mazumdar, Soumyabrata Pal",https://proceedings.neurips.cc/paper/2017/hash/2131f8ecf18db66a758f718dc729e00e-Abstract.html
Regularizing Deep Neural Networks by Noise: Its Interpretation and Optimization,"Hyeonwoo Noh, Tackgeun You, Jonghwan Mun, Bohyung Han",https://proceedings.neurips.cc/paper/2017/hash/217e342fc01668b10cb1188d40d3370e-Abstract.html
Few-Shot Adversarial Domain Adaptation,"Saeid Motiian, Quinn Jones, Seyed Iranmanesh, Gianfranco Doretto",https://proceedings.neurips.cc/paper/2017/hash/21c5bba1dd6aed9ab48c2b34c1a0adde-Abstract.html
Robust and Efficient Transfer Learning with Hidden Parameter Markov Decision Processes,"Taylor W. Killian, Samuel Daulton, George Konidaris, Finale Doshi-Velez",https://proceedings.neurips.cc/paper/2017/hash/2227d753dc18505031869d44673728e2-Abstract.html
